epoch,train error,validation error
0,2.688562735296576,3.0476711090280544
1,2.9371470935092523,3.0946660883985575
2,2.2071949904129835,2.3853928475070707
3,1.8853008580538262,2.1505760620258396
4,1.7808450081686082,2.094335500524071
5,1.5062557616788173,1.9117370925947328
6,1.6917868836215952,2.2505145602043592
7,1.2031186956148154,1.9164829437360331
